question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
"In the series 5, 12, 19, 26, 33, …, what will be 15th term?",,MAT,Series,Arithmetic Progression,1,Medium,110,,103,,105,,98,,2
Choose the number pair 1 group which is different from others?,,MAT,Reasoning,Number Analogy,1,Medium,"11, 29",,"18, 43",,"13, 32",,"15, 37",,3
Which of the following is water image of given word? (NABIN),,MAT,Reasoning,Mirror Image,1,Easy,NABIN (mirror form),,NBIVN,,INABN,,NVBIN,,2
Nakul is taller than Nabin but not taller as Lokendra. Kamesh is shorter than Nakul but taller than Netra. Who among them is the shortest?,,MAT,Reasoning,Ranking,1,Medium,Nakul,,Nabin,,Netra,,Can’t be determined,,3
"In a group of persons, 70% of the person are male and 30% of the person are married. If two seventh of males are married, what fraction of the females is single?",,MAT,Arithmetic,Ratio & Proportion,1,Hard,2/7,,1/3,,3/7,,2/3,,3
"Two vectors F₁ and F₂ are inclined at an angle θ, have resultant Fᵣ which is right angle to the force F₁. Find θ.",,Physics,Vectors,Resultant,1,Medium,90°,,130°,,135°,,120°,,3
"If the range of a projectile thrown at an angle 15° is 50 m, find the range when it is thrown with same speed at an angle of 45°.",,Physics,Mechanics,Projectile Motion,1,Medium,50 m,,100 m,,150 m,,200 m,,2
To minimize the waste of electrical energy into heat in high tension transmission,,Physics,Electricity,Power Transmission,1,Medium,Current is minimized,,Voltage is minimized,,Current is maximized,,A.C. is changed to D.C.,,1
C.M centre of mass,,Physics,Mechanics,Centre of Mass,1,Medium,May lie inside the body,,May lie outside the body,,May lie on the surface of body,,"May lie inside, outside or on surface of the body",,4
"If a torch light is used in place of monochromatic light in Young's experiment, what will happen?",,Physics,Waves,Interference,1,Medium,No fringe will appear,,"Fringe will appear for a moment, then it will disappear",,Fringe will occur as from monochromatic light,,Only bright fringe will appear,,2
"In damping, which of the following remains constant.",,Physics,Oscillation,Damping,1,Medium,Initial phase,,Angular frequency,,Time period,,Amplitude,,2
If the combined power of the convex and concave lens is 4D and the power of the convex lens is 5D. Find the focal length of the concave lens.,,Physics,Optics,Lenses,1,Medium,-100 cm,,-1 cm,,#ERROR!,,-10 cm,,4
The conduction in the semi-conductor due to breaking of the covalent bond occurs in,,Physics,Electronics,Semiconductor,1,Medium,Intrinsic conductor,,Extrinsic conductor,,Acceptor,,Donor,,1
"If the work function of the metal is 3.6×10⁻¹⁹ J, then maximum wavelength emitted by it is:",,Physics,Modern Physics,Photoelectric Effect,1,Hard,574.8 nm,,574.5 nm,,2.745 nm,,5.745 nm,,1
"An electron enters a magnetic field (B) with (v) at right angle, then it traces a path of radius (r). If flux density is halved and velocity is doubled, then it will trace a path of radius:",,Physics,Electromagnetism,Motion of Charges,1,Medium,r,,2r,,4r,,8r,,3
The efficiency of the Carnot’s engine between steam point and freezing point of ice is,,Physics,Thermodynamics,Carnot Engine,1,Medium,26.80%,,48%,,58%,,60%,,2
"If the KE of the body decreases by 19%, then the momentum of the body decreases by",,Physics,Mechanics,Energy & Momentum,1,Medium,10%,,20%,,30%,,50%,,2
"According to Bohr’s model, which of the following quantity gets quantized i.e. have discrete value?",,Physics,Modern Physics,Bohr’s Model,1,Easy,Angular momentum,,Linear momentum,,Planck’s constant,,Electron,,1
"When the dip circle is perpendicular to the magnetic meridian, then apparent angle of dip is",,Physics,Magnetism,Dip Circle,1,Medium,0°,,30°,,60°,,90°,,4
A moving coil galvanometer can be converted to ammeter by,,Physics,Electricity,Galvanometer,1,Medium,By connecting small resistance in parallel,,By connecting high resistance in parallel,,By connecting small resistance in series,,By connecting high resistance series,,1
When 100 gm of the water at 80°C is poured into the calorimeter made of aluminium weighing 300 gm (having sp. gr. 0.22) containing 100 gm of water at 20°C. Then find the resulting temperature of the mixture.,,Physics,Thermodynamics,Calorimetry,1,Medium,27°C,,48°C,,54°C,,80°C,,3
"In the nuclear reaction, ₅B¹⁰ + ₂He⁴ → ₇N¹³ + … The missing term is",,Physics,Nuclear Physics,Nuclear Reactions,1,Medium,Proton,,Neutron,,Electron,,α-particle,,2
X-ray in the room cause which type of following illumination.,,Physics,Modern Physics,X-ray,1,Easy,Invisible,,Red,,Violet,,Yellow,,1
"In an adiabatic process, work done on the system is 90J. What is the change in internal energy?",,Physics,Thermodynamics,First Law,1,Medium,#ERROR!,,#ERROR!,,-90J,,-180J,,1
A coil of wire of radius r has 600 turns and self inductance of 108 mH. The self inductance of a similar coil of 500 turns will be:,,Physics,Electromagnetism,Inductance,1,Hard,75 mH,,108 mH,,90 mH,,50 mH,,3
"For vertical circular motion of radius 1m, then its critical velocity is:",,Physics,Mechanics,Circular Motion,1,Medium,3.14 m/s,,6.36 m/s,,9.48 m/s,,12 m/s,,2
"The heat required to melt 1 gm ice is 80 Cal. A man chew 60 gm of ice in 1 minute, then power of man is:",,Physics,Thermodynamics,Latent Heat,1,Medium,0.336 W,,336W,,7000W,,0.1W,,1
The common hydrometer reads 1.6 specific gravity. The mark 1.5 is:,,Physics,Properties of Matter,Hydrometer,1,Medium,Upwards,,Downwards,,Same at that place,,Depends on the hydrometer,,2
Earth’s magnetic field always has a horizontal component except,,Physics,Magnetism,Earth’s Magnetism,1,Medium,at the equator,,at a magnetic pole,,at a latitude,,at a longitude of 60°,,2
"The two wires of same length, tension and diameter having the ratio of densities in 1:3. Then the ratio of their frequency.",,Physics,Waves,Vibrations,1,Medium,1:3,,√3:1,,1:√3,,3:1,,3
The young modulus of a steel is 2×10¹¹ N/m² and density is 78×10² kg/m³. Then velocity in steel is:,,Physics,Properties of Matter,Elasticity,1,Hard,340 m/s,,900 m/s,,3×10⁹ m/s,,5060 m/s,,4
The velocity of sound is 350 m/s. The length of open organ pipe is 50 cm. Find its fundamental frequency.,,Physics,Waves,Sound,1,Medium,700Hz,,500Hz,,350Hz,,175Hz,,4
When both source and observer moving in the same direction with the velocity of half that of sound. Then the percentage of increase in frequency will be:,,Physics,Waves,Doppler Effect,1,Medium,0%,,50%,,1%,,2%,,3
"The wire has resistance 32Ω. When its length is doubled, then percentage increase in resistance will be",,Physics,Electricity,Resistance,1,Medium,100%,,200%,,300%,,400%,,4
Cathode rays have,,Physics,Modern Physics,Cathode Rays,1,Medium,Only mass,,Only charge,,No mass and no charge,,Both charge and mass,,4
The refracting angle of prism of refractive index (μ = 1.5) is 60°. What will be angle of emergence when maximum deviation occurs?,,Physics,Optics,Prism,1,Medium,3.7°,,27.6°,,41.6°,,60°,,3
Which of the following is correct?,,Physics,Electronics,Devices,1,Medium,Diode acts as rectifier,,Triode acts as rectifier,,"Diode have grid, plate a cathode",,Triode have plate a cathode,,1
"The focal length of lens is F, and diameter of aperture is d. When 1/4 of diameter is blackened, then intensity of image will be:",,Physics,Optics,Lenses,1,Hard,1/16,,1/4,,14/16,,15/16,,4
Bernoulli’s equation is applicable in,,Physics,Fluid Mechanics,Bernoulli’s Principle,1,Medium,Magnetic field,,Electric field,,Fluid mechanics,,Sound waves,,3
"The Faraday’s constant is 9.65×10⁷ amp/sec/kg. When fused sodium chloride is electrolysed, the amount of sodium deposited in negative electrode when 16 ampere current is passed in 10 minutes:",,Physics,Electricity,Electrolysis,1,Hard,0.239 g,,0.11 g,,23 g,,2.3 g,,2
Which one of the following cannot be a statement of Gauss’s Law for some physical situation?,,Physics,Electromagnetism,Gauss’s Law,1,Medium,4πr²ε₀E = Q,,2πrLε₀E = Q,,∮E.dA = ∮ρdv,,∮E.dl = Q,,4
The principle used in obtaining an x-ray photograph of hand is,,Physics,Modern Physics,X-Ray,1,Medium,Dark photography,,Shadow photography,,Photoelectric effect,,Wave theory,,2
Newton’s law of cooling is applicable for,,Physics,Thermodynamics,Newton’s Law of Cooling,1,Medium,Gas to find heat,,Gas to find specific heat,,Liquid to find specific heat,,Liquid to find melting point,,3
"The resistance of wire 4Ω is bend through 180° and twisted together, then new resistance will be",,Physics,Electricity,Resistance,1,Medium,1Ω,,2Ω,,4Ω,,8Ω,,2
The ionization energy of Hydrogen is 13.6 eV. Then ionization energy of Helium is:,,Physics,Modern Physics,Ionization Energy,1,Medium,10 eV,,13.6 eV,,4 eV,,54.4 eV,,4
"When water is heated steadily, its temperature stops rising when water starts to:",,Physics,Thermodynamics,Heat,1,Easy,Evaporate,,Boil,,Condense,,Release,,2
Capacitance of parallel plate capacitor increases when,,Physics,Electricity,Capacitance,1,Medium,Distance between plates is increased,,Area of plate is increased,,When dielectric is removed,,Area of plate is increased and the value of dielectric is also increased,,4
"The temperature recorded by a Celsius thermometer is 40°C, the temperature on Fahrenheit scale is:",,Physics,Thermodynamics,Temperature Conversion,1,Easy,98°F,,100°F,,104°F,,80°F,,1
"When arsenic is added as an impurity to silicon, the resulting material is",,Physics,Electronics,Semiconductors,1,Medium,N-type conductor,,N-type semiconductor,,P-type conductor,,P-type semiconductor,,2
The dimension ML⁻¹T⁻² corresponds to:,,Physics,Units & Dimensions,Dimensions,1,Medium,Work done by force,,Pressure,,Linear momentum,,Coefficient of viscosity,,2
The equivalent capacitance of the combination shown when C = 45 μF is:,,Physics,Electricity,Capacitance,1,Hard,36 μF,,32 μF,,34 μF,,30 μF,,3
A lens made of glass of refractive index 1.52 has focal length of 50 cm when immersed in liquid. The refractive index of liquid must be:,,Physics,Optics,Lens,1,Medium,1.3,,1.52,,1.67,,1.38,,4
The fact that light can be polarized establishes that light:,,Physics,Optics,Polarization,1,Medium,Is a longitudinal wave,,Travels in form of particles,,Is electromagnetic wave,,Is a transverse wave,,4
Electric conduction takes place in a discharge tube due to the movement of:,,Physics,Electricity,Discharge Tube,1,Medium,Positive ions,,Electrons,,Negative ions,,All of the above,,4
Star that appear stationary form the earth is:,,Physics,Astronomy,Stars,1,Easy,Sirius,,Pole star,,Orion,,Ursa major,,2
"Which of the following is called ""Vegetable chameleon""?",,Botany,Plant Physiology,Pigments,1,Medium,Anthocyanin,,Chlorophyll,,Cytochrome,,Pyrenoid,,1
Synapsis occurs in,,Botany,Cell Biology,Meiosis,1,Medium,Pachytene,,Zygotene,,Leptotene,,Diakinesis,,2
Circular DNA is found in,,Botany,Cell Biology,DNA,1,Medium,Nucleus and cytoplasm,,Nucleus and Mitochondria,,Mitochondria and Chloroplast,,Chloroplast and nucleus,,3
"In which of the following stele, pith is found?",,Botany,Anatomy,Stele,1,Medium,Protostele,,Dictyostele,,Merestele,,Siphonostele,,4
Versatile stamens are found in,,Botany,Morphology,Floral Structure,1,Medium,Fabaceae,,Poaceae,,Malvaceae,,Compositae,,2
Which of the following is xerophytic succulent?,,Botany,Ecology,Xerophytes,1,Medium,Pinus,,Cycas,,Agave,,Mango,,3
Munch mass flow is associated with,,Botany,Physiology,Transport,1,Medium,Transpiration,,Translation,,Transcription,,Translocation,,4
Which of the following plant possess hardest wood?,,Botany,Anatomy,Hard Wood,1,Medium,Shorea robusta,,Dalbergia sissoo,,Tectona grandis,,Cedrus deodara,,2
Jute Fibre is obtained from,,Botany,Anatomy,Fibres,1,Medium,Secondary xylem,,Secondary phloem,,Primary xylem,,Primary phloem,,2
Sprouting of potato during storage is due to,,Botany,Physiology,Plant Hormones,1,Medium,Auxin,,Gibberellin,,Cytokinin,,ABA,,2
Biofertilizer is,,Botany,Ecology,Fertilizers,1,Medium,Crotolaria juncia,,Sesbania esculenta,,Anabaena azollae,,Vigna sinensis,,3
Commercially cork is obtained from,,Botany,Anatomy,Cork,1,Medium,Oak,,Mango,,Dalbergia,,Agave,,1
The best indicator of SO₂ pollution is,,Botany,Ecology,Pollution,1,Medium,Lichens,,Algae,,Ferns,,Fungi,,1
Apomixis involves,,Botany,Reproduction,Apomixis,1,Medium,Fusion of gametes,,Steam cutting,,Without fusion of gametes,,Normal type of reproduction,,3
"Micropyle, funicle and chalaza lie in a straight line, the type of ovule is called",,Botany,Reproduction,Ovule,1,Medium,Atropous,,Anatropous,,Amphitropous,,Hemitropous,,2
Pieces of plant used in tissue culture is,,Botany,Plant Biotechnology,Tissue Culture,1,Medium,Explant,,Inplant,,Stock,,Scion,,1
Peristome is found in,,Botany,Classification,Bryophytes,1,Medium,Marchantia,,Funaria,,Cycas,,Fern,,2
Pigment system is mainly for,,Botany,Physiology,Photosynthesis,1,Medium,Flowering,,Hydrolysis of water,,Guttation,,Respiration,,2
Alternative or contrasting form of gene is,,Botany,Genetics,Genes,1,Medium,Allele,,Homozygous,,Heterozygous,,Hemizygous,,1
Five kingdom system of classification is on the basis of,,Botany,Classification,Systems,1,Medium,Nutrition,,Presence or absence of plastid,,Presence or absence of nucleus,,Chromosome,,3
Which of the following algae is found in thermal spring?,,Botany,Classification,Algae,1,Medium,Rhodophyceae,,Chlorophyceae,,Cyanophyceae,,Phaeophyceae,,3
The E. coli is easily extracted from:,,Botany,Microbiology,Bacteria,1,Medium,Humus soil,,Stomach,,Human excreta,,Dirty river water,,3
Which of the following is correct?,,Botany,Genetics,Codons,1,Medium,UAA is an initiation codon,,AUG is non-sense codon,,UAA codon codes for leucine,,UUG codon codes for lysine,,4
The fruit of family Poaceae is:,,Botany,Morphology,Fruits,1,Medium,Cypsela,,Silicula,,Drupe,,Caryopsis,,4
The top trophic level of food chain of a pond ecosystem is occupied by,,Botany,Ecology,Food Chain,1,Medium,Water plant,,Insects,,Small fishes,,Large fishes,,4
Application of genetics for the improvement of human race is called,,Botany,Genetics,Applied Genetics,1,Medium,Euthenics,,Eugenics,,Ethnology,,Heredity,,2
Sequence of amino-acid is determined by,,Botany,Genetics,Protein Synthesis,1,Medium,Genetic code,,r-RNA,,Gene,,t-RNA,,3
Monosporic and eight nucleated type of embryo sac is also called:,,Botany,Reproduction,Embryo Sac,1,Medium,Oenothera type,,Allium type,,Polygonum type,,Fritillaria type,,3
All cell have,,Botany,Cell Biology,Organelles,1,Medium,Mitochondria,,Membrane,,Lysosome,,Golgi bodies,,2
"If the haploid number of chromosomes in gymnosperms is 12, what will be the number of chromosomes in its root and endosperm?",,Botany,Genetics,Chromosome Number,1,Medium,"12,12",,"24,12",,"24,12",,"24,36",,4
The relationship between two animals in which one gets benefit and other gets neither benefit nor harm is called,,Botany,Ecology,Symbiosis,1,Medium,Mutualism,,Commensalism,,Parasitism,,Symbiosis,,2
Bacteriophage is,,Botany,Microbiology,Viruses,1,Medium,RNA virus,,DNA virus,,Gram positive bacteria,,Gram negative bacteria,,2
Endoplasmic reticulum is the site for,,Botany,Cell Biology,Endoplasmic Reticulum,1,Medium,Lipid and steroid synthesis,,Carbohydrate synthesis,,Vitamin synthesis,,Chemotropic,,1
In Spirogyra meiosis takes place during,,Botany,Reproduction,Algae,1,Medium,Zoospore formation,,Conjugation,,Zygospore germination,,Gamete formation,,3
A girl with Turner’s syndrome has,,Botany,Genetics,Syndromes,1,Medium,46XY,,46XY,,45XO,,47XXY,,3
The antherozoids of Marchantia are provided with:,,Botany,Classification,Bryophytes,1,Medium,2 flagella,,4 flagella,,5 flagella,,6 flagella,,1
Plant lice are,,Botany,Ecology,Pests,1,Easy,Termites,,Aphids,,Locusts,,Lace insects,,2
‘Mitochondria’ are meant for,,Botany,Cell Biology,Mitochondria,1,Medium,Respiration,,Fatty acid synthesis,,Storage of enzymes of Krebs cycle,,All of the above,,1
The coralloid roots of Cycas are,,Botany,Morphology,Roots,1,Medium,Positively geotropic,,Apogeotropic,,Hygroscopic,,Chemotropic,,2
Sound box of bird is called,,Zoology,Anatomy,Birds,1,Medium,Larynx,,Thyroid,,Adams apple,,Syrinx,,4
Which of the following is not found in frog?,,Zoology,Anatomy,Amphibians,1,Medium,Thyroid,,Arytenoid,,Cricoid,,Corniculate,,4
"During conjugation in paramecium, which of the following is not degenerated?",,Zoology,Microbiology,Paramecium,1,Medium,Macronucleus,,Micronucleus,,Cytopyge,,Oral groove,,2
Gristle cartilage is found in,,Zoology,Anatomy,Cartilage,1,Medium,Hyaline cartilage,,Fibro cartilage,,Areolar tissue,,Adipose tissue,,1
Nephridiopores is found in,,Zoology,Anatomy,Excretion,1,Medium,Septal nephridia,,Pharyngeal nephridia,,Integumentary nephridia,,None of the above,,3
Type of Nephridia not found in earthworm is,,Zoology,Anatomy,Excretion,1,Medium,Macronoephridia,,Septal nephridia,,Integumentary nephridia,,Pharyngeal nephridia,,1
"In tadpole,",,Zoology,Anatomy,Respiration,1,Medium,3 pair of external gills present,,1 pairs of internal gills present,,3 pairs of internal gills,,1 pair of external gills present,,1
"In rabbit, eye movement is controlled by",,Zoology,Anatomy,Nervous System,1,Medium,Corpora quadrigemina,,Cerebrum,,Crura cerebri,,Thalamus,,1
Passive flight is observed in,,Zoology,Ecology,Flight,1,Medium,Exocoetus,,Columba,,Parrot,,Oryctolagus,,1
Blind spot contains,,Zoology,Anatomy,Eye,1,Easy,Only rods,,Only cones,,Either rods or cones,,Neither rods nor cones,,4
Organ of corti is present in,,Zoology,Anatomy,Ear,1,Medium,Tympanum,,Scala vestibuli,,Scala media,,Scala tympani,,3
Unusual character of ascidian as Chordata is,,Zoology,Classification,Chordata,1,Medium,Net like nervous system,,Their blood travels in both directions,,Anus empties into the incurrent siphon,,A pair of siphon is present,,2
Which one of the following phylum is acoelomate?,,Zoology,Classification,Phyla,1,Medium,Platyhelminthes,,Cestoda,,Nematoda,,Annelida,,1
Earthworm has,,Zoology,Anatomy,Sense Organs,1,Medium,Single eyes,,A pair of eyes,,No eyes,,Two pair of eyes,,3
The term ‘tissue’ is given by,,Zoology,Histology,Tissue,1,Medium,Marcello Malpighi,,Bichat,,Meyer,,Ruysch,,2
Study of animal behavior,,Zoology,Zoology,Ethology,1,Medium,Ethology,,Ethnology,,Ethnics,,Euthenics,,1
The typical vertebrae of frog is,,Zoology,Anatomy,Vertebrae,1,Medium,Procoelous,,Acoelous,,Amphicoelous,,Amphicoelous,,1
Gemmule are formed by acquiring,,Zoology,Reproduction,Sponges,1,Medium,Archaeocytes,,Thesocytes,,Tropocytes,,Metazoes,,1
Darwin proposed which one of the following process for transmission of character,,Zoology,Evolution,Darwin,1,Medium,Inheritance of acquired character,,Use and disuse of organ,,Pangenesis,,Mutation,,3
Poisons claws of the Chilopoda are modification of,,Zoology,Anatomy,Arthropods,1,Medium,Maxilla,,Mandibles,,Maxillepede,,Tyson,,2
Carbonic anhydrase is found in,,Zoology,Physiology,Enzymes,1,Medium,RBC,,WBC,,Plasma,,Lungs,,1
Liver cells are phagocytized by the Kupffer cells to produce a pigment called,,Zoology,Anatomy,Liver,1,Medium,Bilirubin,,Fibrin,,Sterobilin,,Urochrome,,1
Sea-anemone and hermit crab exhibits which type of association,,Zoology,Ecology,Symbiosis,1,Medium,Commensalism,,Symbiosis,,Mutualism,,Parasitism,,1
Animal which eat their own faces are,,Zoology,Ecology,Feeding,1,Medium,Coprophagus,,Cropuscular,,Crepuscular,,Gregarius,,1
ICSH is secreted by,,Zoology,Endocrinology,Hormones,1,Medium,Pituitary,,Testes,,Ovary,,Thymus,,2
Archenteron is found in which of the following stage?,,Zoology,Embryology,Development,1,Medium,Gastrula,,Bastrula,,Coeloblastula,,Morula,,1
Which of the following links the animal and plant kingdoms?,,Zoology,Classification,Protists,1,Medium,Paramecium,,Amoeba,,Trypanosoma,,Euglena,,4
Secondary spermatocytes or spermatids are formed from,,Zoology,Reproduction,Gametogenesis,1,Medium,Primary spermatocyte,,Primary oocyte,,Spermatogonia,,Oogonia,,1
The excretory product of hydra is:,,Zoology,Physiology,Excretion,1,Easy,Urea,,Uric acid,,Ammonia,,Amino acids,,3
Which of the following organs is vestigial in the human body?,,Zoology,Anatomy,Vestigial Organs,1,Easy,Nictitating membrane,,Vermiform appendix,,Wisdom teeth,,All of the above,,4
Appendicular skeleton consist of:,,Zoology,Anatomy,Skeleton,1,Medium,Skull and vertebrae,,Vertebral column and limbs,,Limbs & girdles,,Vertebral column and girdles,,3
In rabbit Knob like process in the 2nd vertebrae which helps in rotational movement:,,Zoology,Anatomy,Vertebrae,1,Medium,Angular process,,Odontoid process,,Metapophysis,,Zygapophysis,,2
Blood is a connective tissue. Plasma means:,,Zoology,Physiology,Blood,1,Easy,Blood protein,,Blood corpuscle,,Serum and clotting factors,,All of the above,,3
Excretion in frog tadpole is:,,Zoology,Physiology,Excretion,1,Medium,Ureotelic,,Uricotelic,,Ammonotelic,,Both (a) & (c),,4
Graafian Follicle is found in:,,Zoology,Reproduction,Ovary,1,Medium,Ovary of frog,,Ovary of mammal,,Testes of frog,,Testes of mammal,,2
Vit. A is synthesized inside the body in:,,Zoology,Nutrition,Vitamins,1,Medium,Pancreas,,Spleen,,Kidney,,Liver,,4
Number of teeth in each half of lower Jaw of rabbit is:,,Zoology,Anatomy,Teeth,1,Medium,12,,6,,2,,4,,2
Payer’s patches produce:,,Zoology,Immunology,Lymphoid Organs,1,Medium,Pepsinogen,,Trypsin,,Lymphocytes,,Enterokinase,,3
A nerve is a bundle of,,Zoology,Anatomy,Nervous System,1,Medium,Ganglia,,Dendrites,,Synapse,,Axons,,4
The hardest tissue in the body is,,Zoology,Anatomy,Tissues,1,Easy,Bone,,Nail,,Enamel,,Cartilage,,3
One mole of Sn²⁺ reduces …. moles of K₂Cr₂O₇,,Chemistry,Redox Reactions,Equivalent Concept,1,Medium,1/3,,1/2,,3,,2,,2
Which of the following has maximum magnetic moment?,,Chemistry,Periodic Table,Magnetism,1,Medium,Fe³⁺,,Co³⁺,,Zn²⁺,,Cr³⁺,,4
Phenol acts as o & p directing group due to,,Chemistry,Organic Chemistry,Phenols,1,Medium,Mesomeric effect,,Electromeric effect,,Inductive effect,,Resonance effect,,4
"Which of the following react with excess of HBr to give 2,2-dibromopropane?",,Chemistry,Organic Chemistry,Reactions,1,Medium,CH₃–C≡CHBr,,CH₃–C≡CH,,CH₃–C≡C–CH₃,,H₂C≡CH₂,,2
A compound ‘X’ reacts with C₂H₅MgI to form a compound ‘Y’ which on hydrolysis yields 2-methyl propan-3-ol. Identify ‘X’.,,Chemistry,Organic Chemistry,Grignard Reaction,1,Medium,2-Methyl propanal,,Butanol,,Butanone,,Propanone,,4
Sucrose undergoes hydrolysis. It is,,Chemistry,Organic Chemistry,Carbohydrates,1,Medium,Hydration,,Inversion,,Hydrolysis,,Saponification,,2
Nomenclature of following compound is (C₂H₅–NH–CHO):,,Chemistry,Organic Chemistry,Nomenclature,1,Medium,N-ethyl methanamide,,N-formyl ethanamine,,N-Hydro ethane,,N-Ethamide,,2
Acetic acid having molarity 2.05 M and specific gravity 1.78 g/cc has molality.,,Chemistry,Physical Chemistry,Solutions,1,Hard,1.44 mol kg⁻¹,,2.40 mol kg⁻¹,,3.24 mol kg⁻¹,,1 mol kg⁻¹,,3
Hess law is associated with,,Chemistry,Thermodynamics,Hess Law,1,Medium,Change of heat of reaction,,Equilibrium of reaction,,Order of reaction,,Stability of reaction,,1
Chlorine bleaches the substance by oxidation while SO₂ bleaches by,,Chemistry,Inorganic Chemistry,Bleaching,1,Medium,Reduction,,Oxidation,,Hydrolysis,,Dehydration,,1
A catalyst changes,,Chemistry,Chemical Kinetics,Catalyst,1,Medium,Activation energy of reaction,,Thermal energy of reactant,,Temperature coefficient of reaction,,Kinetic energy of the reactant,,1
Half life of 1st order reaction is,,Chemistry,Chemical Kinetics,Half-life,1,Medium,Directly proportional to initial concentration of the reactant,,Independent of the initial concentration of reactant,,Directly proportional to the square of concentration of the reactant,,Inversely proportional to concentration of the reactant,,2
"During contact process of manufacturing of H₂SO₄, arsenic impurity is removed by",,Chemistry,Industrial Chemistry,Contact Process,1,Medium,Fe₂O₃,,FeO,,Fe(OH)₃,,Fe(OH)₂,,3
"In contact process, scattering phenomenon occurs in testing box identifies suspended impurity using",,Chemistry,Industrial Chemistry,Contact Process,1,Medium,Tyndall effect,,Electrophoresis,,Dialysis,,Dispersion,,1
"During Solvay process, brine solution is saturated with ammonia to get",,Chemistry,Industrial Chemistry,Solvay Process,1,Medium,NaHCO₃,,Na₂CO₃,,NH₄Cl,,NH₄CO₃,,1
Activation energy is,,Chemistry,Chemical Kinetics,Activation Energy,1,Medium,Energy difference between reactants & products,,Energy difference between reactants & activated complex,,Heat of reaction between,,None of the above,,2
Hypo is used in photography due to its,,Chemistry,Inorganic Chemistry,Photography,1,Medium,Complexing property,,Picture printing,,Oxidizing property,,Reducing property,,1
"In dry cell, depolarizer is",,Chemistry,Inorganic Chemistry,Electrochemistry,1,Medium,Hg,,MnO₂,,CdO,,Hg₂Cl₂,,2
Auto reduction method is used to extract,,Chemistry,Metallurgy,Extraction,1,Medium,Cu and Hg,,Cu and Ag,,Cu and Au,,Hg and Ag,,2
When methyl iodide is reacted with sodium ethoxide,,Chemistry,Organic Chemistry,Reactions,1,Medium,Methoxy ethane,,Ethoxyethane,,Ethoxy-methane,,Butanol,,1
Graphite is good conductor of electricity:,,Chemistry,Physical Chemistry,Conductivity,1,Medium,Due to the presence of free electrons,,Because it is soft and lustrous,,Because all C–C bonds get satisfied,,Due to sp³ hybridization of C–C atoms,,1
Flavoring agent used in Jam industry,,Chemistry,Organic Chemistry,Applications,1,Medium,Carboxylic acid,,Ester,,Aldehyde,,Alcohol,,2
Which of the following electronic configuration has highest 1st IE?,,Chemistry,Atomic Structure,Ionization Energy,1,Hard,1s²2s²2p¹,,1s²2s²2p²,,1s²2s²2p³,,1s²2s²2p⁴,,3
An organic compound which produces a bluish green coloured flame on heating in presence of copper is,,Chemistry,Organic Chemistry,Test of Compounds,1,Medium,Chlorobenzene,,Benzaldehyde,,Aniline,,Benzoic acid,,3
Cu reacts with which of the following to give blue colouration?,,Chemistry,Inorganic Chemistry,Reactions of Cu,1,Medium,NaNO₃,,Mg(NO₃)₂,,Zn(NO₃)₂,,AgNO₃,,4
Unit of specific conductivity is,,Chemistry,Physical Chemistry,Conductivity,1,Medium,ohm cm⁻¹,,ohm⁻¹,,ohm⁻¹cm⁻¹,,Seimen cm,,3
Formic acid is formed by,,Chemistry,Organic Chemistry,Carboxylic Acids,1,Medium,Glycerol and (COOH)₂ is heated,,(CH₃COO)₂Ca is heated,,CH₃COOH + CH₃CH₂COOH,,CH₃MgBr + CH₃CHO,,2
Ionic moment is more in which type of solution,,Chemistry,Physical Chemistry,Electrolytes,1,Medium,Low value of dielectric in solution,,High value of dielectric in solution,,Independence of dielectric strength,,None of the above,,2
Characteristic reaction of carbonyl group is,,Chemistry,Organic Chemistry,Carbonyl Compounds,1,Medium,Electrophilic addition,,Electrophilic substitution,,Nucleophilic addition,,Nucleophilic substitution,,3
"For the reaction CO(g) + ½ O₂(g) → CO₂(g), Kp/Kc will be",,Chemistry,Physical Chemistry,Equilibrium,1,Medium,1,,RT,,1/√RT,,√RT,,2
For the simple molecular reaction the Arrhenius constant (A) is,,Chemistry,Chemical Kinetics,Arrhenius Constant,1,Medium,Directly proportional to Temperature,,Independent of Temperature,,Inversely proportional to the temperature,,Inversely proportional to the square of temperature,,2
Intermolecular hydrogen bonding is strongest on,,Chemistry,Physical Chemistry,Hydrogen Bonding,1,Medium,Methyl amine,,Phenol,,Methanol,,Ethanol,,2
Radioactivity is:,,Chemistry,Nuclear Chemistry,Radioactivity,1,Medium,Zero order,,1st order,,2nd order,,3rd order,,2
Toluene on free chlorination in light & heat followed by heating with aq. NaOH gives:,,Chemistry,Organic Chemistry,Reactions,1,Medium,Benzoic acid,,Benzaldehyde,,Chlorobenzene,,Benzene,,2
Froth floatation is the process of purification of ……… ore,,Chemistry,Metallurgy,Ore Beneficiation,1,Medium,Oxide,,Sulphide,,Carbonate,,Sulphate,,2
The fluorinated compounds are used as:,,Chemistry,Applied Chemistry,Medicines,1,Medium,Antihypertensive,,Anaesthetic,,Antiarrhythmics,,Diuretic,,2
