question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
"A circle x2+y2+kx+4y+5=0x^2 + y^2 + kx + 4y + 5 = 0 passes through a point (1, 0) then which one of the following is an equation of a diameter of the circle?",,Mathematics,Coordinate Geometry,Circle Equation,2,Medium,x + y + 1 = 0,,k = 1,,x + y = 1,,2x + 5y = 4,,1
"If (a, b) is a mid-point of a chord passing through the vertex of a parabola y2=4xy^2 = 4x then",,Mathematics,Conic Sections,Parabola,2,Medium,a = 2b,,b² = 4a,,a² = 2b,,b² = 2a,,4
If y=e(1+log⁡x)y = e^{(1 + \log x)} then dydx\frac{dy}{dx} =,,Mathematics,Differentiation,Chain Rule,2,Easy,a,,e,,x,,logx,,3
A function f(x)=x3−27x+5f(x) = x^3 - 27x + 5 is an increasing function if,,Mathematics,Calculus,Increasing/Decreasing,2,Hard,,x,< 3,,,x,≥ 3,,
"∫x dxx(1+x5)=\int \frac{x \, dx}{x(1 + x^5)} =",,Mathematics,Integration,Standard Integral,2,Hard,log⁡(x41+x5)+c\log \left( \frac{x^4}{1 + x^5} \right) + c,,14log⁡(x+x5)+c\frac{1}{4} \log(x + x^5) + c,,14log⁡(x41+x5)+c\frac{1}{4} \log \left( \frac{x^4}{1 + x^5} \right) + c,,14(1+x5x)+c\frac{1}{4} \left( \frac{1 + x^5}{x} \right) + c,,3
The area bounded by the curve y=x2y = x^2 and a line y=xy = x is,,Mathematics,Area,Curve & Line,2,Easy,16\frac{1}{6} sq. unit,,13\frac{1}{3} sq. unit,,12\frac{1}{2} sq. unit,,56\frac{5}{6} sq. unit,,1
(a⃗+b⃗)×(a⃗−b⃗)(\vec{a} + \vec{b}) \times (\vec{a} - \vec{b}) is,,Mathematics,Vectors,Cross Product,2,Medium,a⃗2−b⃗2\vec{a}^2 - \vec{b}^2,,a null vector,,a like vector to a⃗×b⃗\vec{a} \times \vec{b},,an unlike vector to a⃗×b⃗\vec{a} \times \vec{b},,2
What does this passage mainly discuss?,,English,Reading Comprehension,Passage Theme,2,Medium,A change in role of blue harp,,Role of jug bands,,Invention of blues harp,,Performance of jug bands,,1
What does the phrase 'rural south' refer to?,,English,Vocabulary,Contextual Meaning,2,Easy,south direction,,countryside,,a city,,a band,,2
What can be inferred about George 'Bullet' Williams?,,English,Reading Comprehension,Inference,2,Medium,He belongs to jug bands,,He was a musician,,He used to play harp,,He influenced some of the latter harp men,,4
"According to the passage, where do jug bands not perform?",,English,Reading Comprehension,Fact Finding,2,Easy,street corners,,country stores,,city stage,,saloons,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
A soap bubble is formed in soap solution has excess pressure P in it. The soap bubble of same radius is formed in air has excess pressure of,,Physics,Properties of Matter,Surface Tension,1,Medium,P,,2P,,P2\frac{P}{2},,4P,,2
If aₜ and aᵣ represent radial and tangential accelerations. The motion of particle will be uniformly circular if,,Physics,Mechanics,Circular Motion,1,Medium,aᵣ = 0 & aₜ = 0,,aᵣ = 0 & aₜ ≠ 0,,aₜ ≠ 0 but aᵣ = 0,,aᵣ ≠ 0 & aₜ ≠ 0,,2
The amount of heat energy radiated per second by a surface depends on,,Physics,Heat,Radiation,1,Easy,Area of surface,,Difference in temperature between surface and surrounding,,Nature of surface,,All of above,,4
Two waves travelling in same medium have frequency 1:2 and their intensities 1:36 then ratio of their amplitude are,,Physics,Waves,Wave Parameters,1,Medium,1:3,,1:6,,1:8,,02:12,,2
Two small balls each carrying a charge 'q' are suspended by equal insulated strings of length 'l' from the hook of a stand. This arrangement is carried in a satellite in space then tension on each string will be,,Physics,Electrostatics,Charges in Space,1,Hard,q24πϵ04l2\frac{q^2}{4 \pi \epsilon_0 4l^2},,14πϵ0l2\frac{1}{4 \pi \epsilon_0 l^2},,q24πϵ0l2\frac{q^2}{4 \pi \epsilon_0 l^2},,q4πϵ0l\frac{q}{4 \pi \epsilon_0 l},,1
A wire of resistance 10Ω is stretched by one tenth of its original length then resistance will be,,Physics,Electricity,Resistance,1,Medium,11Ω,,12.1Ω,,13.2Ω,,15.5Ω,,4
A ray of light passes from vacuum into a medium of refractive index μ. The angle of incidence is found twice the angle of refraction: The angle of incidence is,,Physics,Optics,Refraction,1,Medium,cos⁻¹(μ/2),,2cos⁻¹(μ/2),,2sin⁻¹(μ/2),,sin⁻¹(μ/2),,1
In transistor α = 0.99 and emitter current changes by 5mA then change in collector current is,,Physics,Electronics,Transistors,1,Medium,0.196mA,,2.45mA,,4.95mA,,5.1mA,,3
The force is related with time by F = at + bt² then dimensional formula of b is,,Physics,Mechanics,Dimensional Analysis,1,Medium,T⁻²,,LT⁻¹,,MLT⁻⁴,,LT⁻⁴,,3
When a force F = 6i – 8j + 10k produce an acceleration of 1m/s² then mass of body is,,Physics,Mechanics,Newton's Laws,1,Medium,10√2 kg,,2√10 kg,,10 kg,,20 kg,,3
Ideal gas undergoing isothermal expansion means,,Physics,Thermodynamics,Isothermal Process,1,Easy,heat remain constant,,temperature and volume remain constant,,temperature and pressure remain constant,,temperature remain constant,,4
Velocity of sound is maximum in,,Physics,Sound,Velocity of Sound,1,Easy,water,,air,,steel,,vacuum,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
A wire has resistance 10Ω. A second wire of same material of double length and half of radius of cross section has resistance,,Physics,Electricity,Resistance,1,Medium,20 Ω,,40 Ω,,80 Ω,,160 Ω,,4
The wavelength of Kα line of an element of atomic no. 43 is λ then wavelength of Kα line for an element of atomic no. 29 is,,Physics,Modern Physics,X-ray Spectra,1,Hard,4329λ\frac{43}{29} \lambda,,4228λ\frac{42}{28} \lambda,,42λ\frac{4}{2} \lambda,,94λ\frac{9}{4} \lambda,,2
The number of electrons present in 3.4g of NH₃ is,,Chemistry,Mole Concept,Avogadro's Number,1,Medium,0.2Nₐ,,Nₐ,,2Nₐ,,5Nₐ,,3
"In the reaction 2A + B → A₂B, the reaction A will disappear at",,Chemistry,Chemical Kinetics,Reaction Rates,1,Medium,Half the rate that B will decrease,,The same rate that B will decrease,,The same rate that A₂B will form,,Twice the rate that B will decrease,,4
The Ksp of PbCl₂ is 5×10⁻⁵. The solubility of PbCl₂ is,,Chemistry,Equilibrium,Solubility Product,1,Hard,7.07 × 10⁻⁴ mols/litre,,5 × 10⁻³ mols/litre,,1 × 10⁻⁴ mols/litre,,1.41 × 10⁻³ mols/litre,,1
The pH of NH₄Cl solution is,,Chemistry,Acids and Bases,pH,1,Easy,7,,< 7,,> 7,,0,,2
The number of σ and π bonds in acetylene is,,Chemistry,Organic Chemistry,Bonding,1,Easy,2 and 1,,1 and 3,,3 and 2,,2 and 3,,1
The gas formed by passing NH₃ gas over heated sodium metal is,,Chemistry,Inorganic Chemistry,Gas Formation,1,Medium,N₂,,H₂,,N₂O,,N₂H₄,,4
Which of these is thermally unstable?,,Chemistry,Periodic Table,Stability of Compounds,1,Medium,Li₂CO₃,,Na₂CO₃,,K₂CO₃,,Rb₂CO₃,,1
The chemical representation of producer gas (used as a fuel) is,,Chemistry,Environmental Chemistry,Fuel Chemistry,1,Medium,CO + H₂,,CO + H₂O,,CO + NO₂,,CO + N₂,,1
The passivity of iron is due to,,Chemistry,Electrochemistry,Passivation,1,Medium,FeO,,Fe₂O₃,,Fe₃O₄,,Fe(NO₃)₃,,4
Which of these is an electrophile?,,Chemistry,Organic Chemistry,Reaction Types,1,Medium,NH₃,,SO₃,,CN⁻,,H₂O,,2
The byproduct formed during preparation of ethyl iodide is,,Chemistry,Organic Chemistry,Preparation of Alkyl Halides,1,Medium,H₃PO₄,,H₃PO₂,,H₃PO₃,,PH₃,,2
The hydrolysis of chloral with Ca(OH)₂ gives,,Chemistry,Organic Chemistry,Reaction with Ca(OH)₂,1,Medium,Chloroform,,Ethanal,,Ethanol,,Calcium acetate,,1
Oxidation of Toluene with air in presence of Mn⁺ and Cu⁺ salts as catalyst gives,,Chemistry,Organic Chemistry,Oxidation Reactions,1,Medium,Phenol,,Benzaldehyde,,Benzoic acid,,Anisole,,3
Which of the following is an intensive property?,,Chemistry,Thermodynamics,Intensive vs Extensive,1,Easy,Energy,,Mass,,Refractive index,,Volume,,3
If A is the subset of B then A ∪ B =,,Mathematics,Sets,Union of Sets,1,Easy,A,,B,,∅,,None,,2
"The multiplicative inverse of the complex number (1, 1) is",,Mathematics,Complex Numbers,Inverse,1,Medium,"(1, 1)",,"(12,12)\left( \frac{1}{2}, \frac{1}{2} \right)",,"(12,−12)\left( \frac{1}{2}, -\frac{1}{2} \right)",,"(−12,12)\left( -\frac{1}{2}, \frac{1}{2} \right)",,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
Which one of the following measures of marks is the most suitable one of central location for computing intelligence of students?,,Mathematics,Statistics,Measures of Central Tendency,1,Medium,Mode,,Arithmetic mean,,Geometric mean,,Median,,2
"The most general value of θ which satisfies tanθ = –1, cosθ = 12\frac{1}{\sqrt{2}} is",,Mathematics,Trigonometry,General Solution,1,Hard,nπ + 7π4\frac{7\pi}{4},,2nπ + 7π4\frac{7\pi}{4},,2nπ + 11π4\frac{11\pi}{4},,2nπ + 3π4\frac{3\pi}{4},,1
The point of contact of the tangent y = mx – am² to the parabola x² = 4ay is,,Mathematics,Conic Sections,Parabola,1,Medium,"(am², –2am)",,"(2am,am2)\left( \frac{2a}{m}, \frac{a}{m²} \right)",,"(2am, am²)",,"(2am, am²)",,1
The eccentricity of the hyperbola ax² – by² = k where k < 0 is,,Mathematics,Conic Sections,Hyperbola,1,Hard,1+ba\sqrt{1 + \frac{b}{a}},,1+ab\sqrt{1 + \frac{a}{b}},,1+b2a2\sqrt{1 + \frac{b^2}{a^2}},,1+ka\sqrt{1 + \frac{k}{a}},,1
"For any two mutually exclusive events A and B, P(A ∩ B) =",,Mathematics,Probability,Events,1,Easy,P(A) + P(B),,P(A) – P(B),,P(A ∪ B) – P(A) – P(B),,0,,4
The derivative of sin²x w.r.t. cosx is,,Mathematics,Differentiation,Chain Rule,1,Medium,2cosx,,–2cosx,,2sinx,,–2sinx,,3
"∫log⁡x dx=\int \log x \, dx =",,Mathematics,Integration,Standard Integrals,1,Medium,x log x + x + c,,x log x – x + c,,log x + x + c,,log x – x + c,,1
a⃗⋅i⃗2+(a⃗⋅j⃗)2+(a⃗⋅k⃗)2=\vec{a} \cdot \vec{i}^2 + (\vec{a} \cdot \vec{j})^2 + (\vec{a} \cdot \vec{k})^2 =,,Mathematics,Vectors,Scalar Product,1,Hard,a²,,1,,(,\vec{a} \cdot \vec{i} + \vec{j} + \vec{k},^2 ),,3
The domain of the function f(x)=a2–x2f(x) = \sqrt{a^2 – x^2} is,,Mathematics,Functions,Domain,1,Medium,"(–∞, ∞)",,"(–a, a)",,"[–a, a]",,,x,≥ a
(cos⁡π3+isin⁡π3)−3(\cos \frac{\pi}{3} + i \sin \frac{\pi}{3})^{-3},,Mathematics,Complex Numbers,De Moivre's Theorem,1,Hard,0,,–1,,1,,12\frac{1}{2},,2
The binomial coefficient of 4th term in the expansion of (x–9)5(x – 9)^5 is,,Mathematics,Binomial Theorem,Coefficients,1,Medium,5,,10,,20,,15,,2
lim⁡x→0axsin⁡x–1bxsin⁡x–1=\lim_{x \to 0} \frac{a^{x \sin x} – 1}{b^{x \sin x} – 1} =,,Mathematics,Limits,Exponential,1,Hard,log a,,log b,,logₐ b,,log_b a,,3
The normal to the given curve is parallel to x-axis is,,Mathematics,Differentiation,Slopes,1,Medium,dydx\frac{dy}{dx},,dydx=0\frac{dy}{dx} = 0,,dxdy=1\frac{dx}{dy} = 1,,dydx=1\frac{dy}{dx} = 1,,2
( \int_0^2,2 – x,dx = ),,Mathematics,Integration,Definite Integral,1,Easy,1,,0,,–1,,2
"The distance of the point (1, 2, 3) from x-axis is",,Mathematics,3D Geometry,Distance from Axis,1,Medium,1,,5\sqrt{5},,13\sqrt{13},,14\sqrt{14},,3
"If the lines represented by 2x² + 6xy + ky² = 0 is π, then k =",,Mathematics,Conic Sections,Pair of Lines,1,Hard,18,,29\frac{2}{9},,2,,92\frac{9}{2},,4
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
"If logₐA.logₖk = 3, then A is equal to",,Mathematics,Logarithm,Log Equation,1,Medium,5K³,,K³,,125,,243,,4
cos⁡(12)+2sin⁡−1(−12)\cos \left( \frac{1}{2} \right) + 2 \sin^{-1} \left( -\frac{1}{2} \right),,Mathematics,Trigonometry,Inverse Trig,1,Medium,π4\frac{\pi}{4},,π2\frac{\pi}{2},,2π3\frac{2\pi}{3},,π3\frac{\pi}{3},,3
"In the word 'underscore', the primary stress falls on ... syllable.",,English,Phonetics,Stress,1,Medium,1st,,2nd,,3rd,,4th,,2
"""There has been a decrease in mortality rate."" Here the phonemic transcription of the word 'decrease' is",,English,Phonetics,Transcription,1,Medium,/dIkri:s/,,/dIkri:z/,,/di:kri:s/,,/di:kri:z/,,2
Travels will ... you with new customs.,,English,Vocabulary,Verb Usage,1,Easy,associate,,comply,,acquaint,,expose,,3
"The antonym of the word ""synchronized"" is",,English,Vocabulary,Antonyms,1,Easy,noisy,,discordant,,consequent,,adorned,,2
All of the following sentences are correct except,,English,Grammar,Sentence Correction,1,Medium,By whom was this book bought?,,Who was this book bought by?,,Whom was this book bought by?,,Who is this book bought?,,4
"The indirect form of 'He said, ""Let's go home.""' is",,English,Grammar,Reported Speech,1,Medium,He suggested going home.,,He proposed to go home.,,He proposed that they should go home.,,All are correct.,,4
He is a victim ... hopes and fears.,,English,Prepositions,Usage,1,Easy,of,,to,,by,,for,,1
Which of the following is not a conditional sentence?,,English,Grammar,Conditional Sentences,1,Medium,Buy that book and I will teach you.,,"Should you need money, don’t hesitate to ask me.",,"If he was a soldier, he would be wearing a uniform.",,No sooner had he finished his writing than his friend gave him.,,4
"""No one knew what to say, but at last I broke the ice."" The underlined phrase means...",,English,Idioms,Meaning,1,Medium,to crack the ice,,to start a conversation,,to start quarreling,,to end the hostility,,2
"The sentence ""Police warned the drivers that the roads were icy."" is in the pattern",,English,Sentence Structure,Clause Pattern,1,Medium,S + V₁ + O + that-clause,,S + C + V + DO + OC,,S + V + i + adverbial,,S + V + DO + that-clause,,4
How amazing is the spirit of man!,,English,Sentence Structure,Exclamatory Sentence,1,Easy,is amazing,,is too much amazing,,is just amazing,,is purely amazing,,4
Which of the following underlined words is gerund?,,English,Grammar,Verbals (Gerund),1,Medium,I saw a sleeping tiger.,,"Being sick, I couldn't go to school.",,"Working hard, you will be successful.",,The old man carries a walking stick.,,3
The distance covered by particle is related with time is given by x = 40t – 12t². The distance travelled by particle before coming to rest is,,Physics,Kinematics,Equations of Motion,2,Medium,56 m,,40 m,,24 m,,16 m,,1
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
A 10kg stone is suspended with a rope of breaking strength 30kg wt. The minimum time in which stone can be raised through a height of 10m starting from rest is,,Physics,Mechanics,Newton's Laws,2,Hard,0.5 s,,1 s,,2/3\sqrt{2/3} s,,2 s,,3
A flywheel of moment of inertia 3×1023 \times 10^2 kgm² is rotating with uniform angular speed of 4.6 rad/s. If a torque of 6.9×1026.9 \times 10^2 Nm retards the wheel then time in which wheel comes to rest is,,Physics,Rotational Motion,Torque and Inertia,2,Medium,1.5 s,,2 s,,0.5 s,,1 s,,1
A body of mass 10 kg is attached to a wire of 0.3 m long. Its breaking stress is 4.8×1074.8 \times 10^7 N/m² and area of cross section of wire is 10−610^{-6} m² then maximum angular velocity with which it can be rotated in horizontal circle is,,Physics,Mechanics,Rotational Motion,2,Hard,4 rad/s,,8 rad/s,,16 rad/s,,32 rad/s,,4
"Circular hole in an aluminium plate is 2.54 cm in diameter at 0°C. The diameter of hole, if temperature is raised to 100°C is (α of aluminium = 2.3×10−5/°C2.3 \times 10^{-5} /°C)",,Physics,Thermal Expansion,Linear and Area Expansion,2,Medium,2.55 cm,,2.75 cm,,2.93 cm,,3.25 cm,,3
Two moles of Helium gas has volume 20 lts at 27°C. Gas is first expanded at constant pressure until the volume of gas is doubled. After that gas undergoes adiabatic change until the temperature returns to the initial value. The final volume of gas is,,Physics,Thermodynamics,Gas Laws,2,Hard,113 lts,,115.2 lts,,120 lts,,125 lts,,2
Parallel plate capacitor of capacitance 10μF in air in which area is divided in two parts by dielectric of dielectric constant 2 and 4 then the capacitance of system will be,,Physics,Electrostatics,Capacitors,2,Medium,10 μF,,20 μF,,30 μF,,40 μF,,3
Current in the circuit is (image of circuit shown),file-9MGjKa13Tm3CPLRbGNHywj,Physics,Electricity,Network Circuits,2,Hard,2A,,1A,,3A,,4A,,2
A beam of electron with velocity 10810^8 m/s in a magnetic field of flux density 9.6×10−59.6 \times 10^{-5} T at an angle 20° with field. The radius of path is,,Physics,Magnetism,Force on Charge,2,Hard,1m,,2m,,4m,,5m,,2
A rectangular loop of sides 8cm and 2cm having resistance of 1.6Ω is placed in a magnetic field of 0.3T directed normal to loop. The magnetic field gradually reduced at the rate of 0.02 T/s then induced current is,,Physics,Electromagnetism,Induced EMF,2,Medium,1.6×10−41.6 \times 10^{-4} W,,3.2×10−83.2 \times 10^{-8} W,,1.28×10−81.28 \times 10^{-8} W,,6.4×10−106.4 \times 10^{-10} W,,1
Young’s double experiment produce interference fringe 0.4° on screen for light of 5890 Å. The angular width if entire system is immersed in water is,,Physics,Wave Optics,Interference,2,Medium,0.025°,,0.3°,,0.75°,,0.5°,,2
A mercury lamp of 0.1w emit radiation of wavelength 2537Å having efficiency 5%. The area of anode is 4cm² at 1m from source then photoelectric current on metal of work function 2.2eV is,,Physics,Modern Physics,Photoelectric Effect,2,Hard,30 nA,,32.5 nA,,33.2 nA,,35.5 nA,,3
"After 280 days, the activity of a radioactive sample is 6000 disintegration per second. The activity reduces to 3000 disintegration per second after another 140 days. The initial activity of source is",,Physics,Nuclear Physics,Radioactive Decay,2,Medium,6000 dis/s,,9000 dis/s,,18000 dis/s,,24000 dis/s,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
1g of a metal chloride on reaction with AgNO₃ gave 2.11g of silver chloride. The equivalent weight of metal is,,Chemistry,Stoichiometry,Equivalent Mass,2,Medium,32.5,,38.2,,33.25,,35.5,,1
1.18g of a dibasic acid required 40ml of semi-normal KOH solution for neutralization. The molecular weight of the acid solution is,,Chemistry,Acid-Base,Molecular Weight,2,Medium,126,,118,,84,,90,,1
Water is non-electrolyte but conduct electricity on dissolving a small amount of,,Chemistry,Electrochemistry,Conductivity,2,Easy,Sugar,,Urea,,Common salt,,Acetone,,3
The chemical formula of million’s base is,,Chemistry,Inorganic Chemistry,Compounds,2,Medium,NH₂.HgOH.HgI,,NH₂.Hg₂OH.HgI₂,,NH₂.HgOH.Hg₂I₂,,NH₂.Hg₂OH.Hg₂I,,1
H₂S is oxidized by acidic K₂Cr₂O₇ to,,Chemistry,Redox Reactions,Oxidation,2,Medium,SO₂,,H₂SO₄,,S,,K₂SO₄,,2
The product formed by reacting acetylene with dil. H₂SO₄ in presence of HgSO₄ is,,Chemistry,Organic Chemistry,Addition Reactions,2,Medium,Ethyl hydrogen sulphate,,Acetaldehyde,,Acetic acid,,Ethane sulphonic acid,,2
Which one is incorrect for second ionization energy?,,Chemistry,Periodic Table,Ionization Energy,2,Medium,IE₂ of B > IE₂ of Be,,IE₂ of Na > IE₂ of Mg,,IE₂ of O < IE₂ of N,,None,,3
Phenols don’t react with NaHCO₃ because,,Chemistry,Organic Chemistry,Acidic Properties,2,Medium,Less acidic character,,More steric hindrance,,Destabilisation of phenoxide ion,,Formation of red scum of Na₂CO₃ on its surface,,1
What is the probability of getting two heads twice in 4 tosses of two coins?,,Mathematics,Probability,Binomial Probability,2,Medium,27128\frac{27}{128},,30130\frac{30}{130},,40140\frac{40}{140},,29128\frac{29}{128},,1
"The area of a △ABC is a2−(b−c)2a^2 - (b - c)^2, then tan A",,Mathematics,Trigonometry,Area & Angles,2,Medium,43\frac{4}{3},,34\frac{3}{4},,815\frac{8}{15},,14\frac{1}{4},,2
"The system of equations αx + y + z = α – 1, x + αy + z = α – 1, x + y + αz = α – 1 has no solution if α is equal to",,Mathematics,Linear Algebra,System of Equations,2,Medium,–2 or –1,,1,,–2 or 1,,2 or 1,,3
"From the following data: [Firm A: 25 workers, avg. 6400]; [Firm B: 15 workers, avg. 7500]. Calculate the combined mean.",,Mathematics,Statistics,Mean,2,Medium,6812.50,,7150,,5410,,6500.75,,1
The number of arrangements of the letters of the word 'BANANA' in which two N's do not appear adjacent is,,Mathematics,Permutations,Restrictions,2,Hard,40,,60,,80,,100,,2
"If one root of the equation x2+px+12=0x^2 + px + 12 = 0 is 4, while the equation x2+px+q=0x^2 + px + q = 0 has equal roots, then the value of q is",,Mathematics,Quadratic Equations,Roots,2,Medium,3,,12,,494\frac{49}{4},,92\frac{9}{2},,4
The equation of the locus of centre of the circle which touches x-axis and cuts off a chord of length 2l from y-axis is,,Mathematics,Coordinate Geometry,Locus of Circle,2,Hard,x2+y2=2l2x^2 + y^2 = 2l^2,,x2+y2=4l2x^2 + y^2 = 4l^2,,x2=y2+l2x^2 = y^2 + l^2,,y2=x2+l2y^2 = x^2 + l^2,,3
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
"The area of a triangle whose two vertices (1, 2), (–3, 4) and centroid (0, 0) is",,Mathematics,Geometry,Coordinate Geometry,2,Medium,5,,332\frac{33}{2},,15,,112\frac{11}{2},,2
The differential equation of the family of the curves y=asin⁡px+bcos⁡pxy = a \sin px + b \cos px where a & b are arbitrary constants is given by,,Mathematics,Differential Equations,General Solution,2,Hard,d2ydx2+py=0\frac{d^2y}{dx^2} + py = 0,,d2ydx2+p2y=0\frac{d^2y}{dx^2} + p^2y = 0,,d2ydx2−p2y=0\frac{d^2y}{dx^2} - p^2y = 0,,d2ydx2−py=0\frac{d^2y}{dx^2} - py = 0,,3
"A plane makes intercepts 4 and 3 respectively on x-axis and z-axis. If it is parallel to y-axis, then its equation is",,Mathematics,3D Geometry,Plane Equation,2,Medium,3x + 4z = 12,,3x + 4x = 12,,3y + 4z = 12,,3z + 4y = 12,,1
"If a function f(x) = x2+8xx^2 + \frac{8}{x} has a local minimum value at x = 2, then the value of a is",,Mathematics,Calculus,Maxima and Minima,2,Medium,2,,4,,8,,16,,3
If y=1+x1−xy = \sqrt{ \frac{1 + x}{1 - x} } then dydx\frac{dy}{dx} =,,Mathematics,Differentiation,Chain Rule,2,Medium,y(1−x)2\frac{y}{(1 - x)^2},,y1+x\frac{y}{1 + x},,y1−x\frac{y}{1 - x},,y(1−x)2\frac{y}{(1 - x)^2},,1
"∫π/20cos⁡θ dθ1−sin⁡θ\int_{\pi/2}^0 \frac{\cos \theta \, d\theta}{\sqrt{1 - \sin \theta}} =",,Mathematics,Integration,Trigonometric Integral,2,Hard,2,,32\frac{\sqrt{3}}{2},,–2,,−32\frac{-\sqrt{3}}{2},,3
The area of the region between y = 3x – 5x² and x-axis is,,Mathematics,Integration,Area Under Curve,2,Medium,950\frac{9}{50},,37150\frac{37}{150},,925\frac{9}{25},,53\frac{5}{3},,4
"Vectors (p, q) and (5, 1) are parallel if",,Mathematics,Vectors,Vector Equations,2,Easy,p + q = 5,,pq = 5,,p = 5q,,q = 5p,,3
Some men like to climb mountains because,,English,Comprehension,Inference,2,Easy,they do not like to play football or cricket,,they want to have a wonderful feeling,,they know the trick of climbing,,they like to face danger,,2
To climb mountains is often difficult because,,English,Comprehension,Reasoning,2,Easy,mountains are big hills,,it consumes more time,,prisoners often escape from camps and settle there,,paths are steep and uneven,,4
It is a wonderful feeling .... 'It' refers to,,English,Comprehension,Pronoun Reference,2,Easy,the steep path,,the mountain,,the prisoner,,mountaineering,,4
Two Italian prisoners escaped from the camp and climbed on the top of Mount Kenya.,,English,Comprehension,Inference,2,Easy,to get the feeling of freedom,,to escape to Italy,,to gain fame as mountaineers,,none of the above,,1
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
A body is moving along a straight line by a machine delivering a constant power. The distance moved by the body in time t is proportional to,,Physics,Mechanics,"Work, Power & Energy",1,Medium,t¹/²,,t³/⁴,,t¹/⁴,,t⁴,,2
"For the body executing SHM, the KE of body is related by KE = k₀cos²ωt the maximum value of PE of body is",,Physics,SHM,Energy in SHM,1,Easy,k₀,,k₀/2,,√2 k₀,,2k₀,,1
An ideal gas at pressure P is compressed suddenly so the density of gas becomes n times the initial value. The final pressure of gas will be,,Physics,Thermodynamics,Gas Laws,1,Medium,n^γ P,,n^γ P,,n^(1−γ) P,,n^γ P,,1
A steel scale measure the length of rod at 20°C is 'L'. If scale is correct at 20°C then reading of scale at 21°C if α_s and α_r be the linear expansivity of scale & rod respectively is,,Physics,Thermal Expansion,Measurement,1,Medium,L,,(L α_s)/(α_r),,(L α_s)/(α_r),,L(1+α_r)/(1+α_s),,4
The waves of intensities 1 and 4I interfere to produce maximum intensity I₀. The intensity at a point where phase difference is 90°,,Physics,Waves,Interference,1,Hard,5I,,4I,,3I,,I,,3
Two identical metal balls with charge +2Q and –Q are separated by some distance and exert a force 'F' on each other. They are joined by a conductor and then removed. The force between them will be,,Physics,Electrostatics,Charges & Forces,1,Hard,F,,F/2,,F/4,,F/8,,4
A 50V battery is connected across 10Ω resistance then current of 4.5A flows. The internal resistance of battery is,,Physics,Current Electricity,EMF and Internal Resistance,1,Medium,0.2Ω,,0.5Ω,,1.1Ω,,5Ω,,3
A plano convex lens of focal length 16cm is made by material of refractive index 1.5 then radius of surface is,,Physics,Optics,Lens Maker’s Formula,1,Medium,8 cm,,16 cm,,24 cm,,32 cm,,3
During nuclear reaction of deuteron & ₆C¹² nucleus of ₇N¹³ is formed then particle liberated is,,Physics,Nuclear Physics,Nuclear Reactions,1,Medium,electron,,positron,,proton,,neutron,,3
If (,\vec{v}_1 + \vec{v}_2,#ERROR!,\vec{v}_1 - \vec{v}_2,) when (,\vec{v}_2,) is finite then,,Physics,Vectors,Vector Addition,1,Medium,v⃗1\vec{v}_1 is parallel to v⃗2\vec{v}_2,,v⃗1=v⃗2\vec{v}_1 = \vec{v}_2
"A man turns on a rotating table with an angular speed ω. He is holding two equal masses at arm length, without moving his arm, he drops two masses the angular speed",,Physics,Rotational Motion,Conservation of Angular Momentum,1,Easy,will decrease,,will increase,,remain same,,may decrease or increase,,2
question_text,question_image_url,course_name,chapter,Topic,marks,difficulty,option_1,option_1_image_url,option_2,option_2_image_url,option_3,option_3_image_url,option_4,option_4_image_url,answer_option_number
The frequency of fundamental mode of closed pipe is n. If the diameter of pipe is doubled then frequency of 2nd overtone will be,,Physics,,Wave,1,Medium,n,,3n,,5n,,7n,,3
Two long parallel conductor separated by a distance 'd' having current I flowing in each exert a force F per unit length on each other. If distance is doubled and current is made half then force per unit length will be,,Physics,,EMI,1,Medium,F,,F/2,,F/4,,F/8,,3
